ACTN_NBR,EMP_NBR,INCDT_DT,PROP_DT,DECN_DT,MISCND_CD,MISCND_SUB,ACTN_CD,SUSP_DAYS,SUSP_BEG_DT,INVEST_IND,INVEST_TYP,DECIDE_LVL,DECIDE_EMP_NBR,POSN_ABOLISH_IND
A00001,E02101,11/30/2024,01/07/2025,01/17/2025,ATT,Failure to report,CNS,0,,N,,1,E02242,N
A00002,E00820,12/06/2024,01/17/2025,03/28/2025,INS,Disrespect toward supervisor,CNS,0,,Y,IAD,1,E01097,N
A00003,E00872,11/04/2024,11/21/2024,12/19/2024,NEG,Failure to respond,SP1,2,12/27/2024,Y,IAD,2,,N
A00004,E03038,11/24/2025,12/25/2025,02/11/2026,ATT,Unscheduled absence,CNS,0,,N,,1,E03063,N
A00005,E00934,05/09/2025,05/31/2025,07/07/2025,ATT,AWOL,CNS,0,,N,,1,E01096,N
A00006,E02648,07/31/2024,09/02/2024,09/25/2024,ATT,Failure to report,WRP,0,,Y,HRI,1,E02695,N
A00007,E02435,04/16/2024,06/10/2024,07/10/2024,TRD,Repeated tardiness,SP1,1,07/30/2024,N,,2,,N
A00008,E01158,11/29/2023,01/31/2024,03/27/2024,ODM,Off-duty arrest,CNS,0,,Y,SUP,1,E01264,N
A00010,E00644,05/19/2024,07/11/2024,08/29/2024,VEH,Pursuit policy violation,WRP,0,,Y,IAD,1,E01097,N
A00011,E00830,10/11/2024,10/24/2024,11/21/2024,CUB,Public conduct,WRP,0,,N,,1,E01076,N
A00012,E00771,11/28/2024,01/15/2025,02/26/2025,ATT,Failure to report,SP1,1,03/18/2025,Y,IAD,2,,N
A00013,E00080,07/17/2024,09/22/2024,10/17/2024,ATT,AWOL,CNS,0,,N,,1,E00523,N
A00014,E02437,04/10/2024,05/25/2024,06/14/2024,ATT,Leave abuse,WRP,0,,N,,1,E02697,N
A00015,E02899,11/16/2025,12/15/2025,02/12/2026,ATT,Leave abuse,CNS,0,,N,,1,,N
A00016,E00413,09/22/2023,10/28/2023,11/12/2023,ATT,Leave abuse,CNS,0,,N,,1,E00469,N
A00017,E00862,02/04/2025,03/16/2025,06/07/2025,POL,Report writing,SP2,8,07/02/2025,N,,3,,N
A00018,E02175,11/24/2023,01/06/2024,02/21/2024,HAR,Threats,SP2,14,03/09/2024,Y,SUP,3,,N
A00019,E00190,05/01/2026,05/13/2026,06/12/2026,ATT,Unscheduled absence,CNS,0,,N,,1,E00486,N
A00020,E00259,10/25/2023,12/29/2023,01/13/2024,ATT,Leave abuse,CNS,0,,N,,1,E00508,N
A00021,E02152,01/17/2026,03/21/2026,06/05/2026,INS,Disrespect toward supervisor,CNS,0,,Y,SUP,1,E02229,N
A00022,E02585,04/10/2024,05/27/2024,06/12/2024,TRD,Late from break,CNS,0,,Y,SUP,1,E02708,N
A00023,E00962,08/16/2026,08/24/2026,09/17/2026,CUB,Social media conduct,CNS,0,,Y,SUP,1,E01066,N
A00024,E00491,01/04/2026,02/08/2026,02/24/2026,TRD,Late from break,WRP,0,,N,,1,,N
A00025,E02386,11/18/2024,01/01/2025,02/03/2025,ATT,Leave abuse,SP1,1,02/12/2025,N,,2,,N
A00026,E00731,12/15/2023,01/19/2024,04/02/2024,ATT,Leave abuse,SP1,1,04/09/2024,N,,2,,N
A00027,E00881,04/22/2024,07/08/2024,07/25/2024,CUB,Social media conduct,WRP,0,,N,,1,E01072,N
A00028,E02748,07/25/2025,09/18/2025,10/13/2025,TRD,Late from break,CNS,0,,N,,1,,N
A00029,E01313,12/28/2025,02/19/2026,03/27/2026,INS,Disrespect toward supervisor,WRP,0,,Y,SUP,1,E01686,N
A00030,E02026,11/25/2025,12/25/2025,02/19/2026,INS,Disrespect toward supervisor,SP2,13,03/03/2026,N,,3,,N
A00031,E00039,07/19/2025,11/08/2025,01/28/2026,ODM,Off-duty arrest,WRP,0,,N,,1,E00530,N
A00032,E00739,10/31/2025,11/17/2025,12/03/2025,TRD,Repeated tardiness,SP1,1,12/29/2025,N,,2,,N
A00033,E02641,06/27/2024,07/21/2024,08/23/2024,NEG,Inattention to duty,WRP,0,,N,,1,E02693,N
A00034,E00589,10/04/2024,10/28/2024,12/21/2024,UOF,De-escalation failure,SP2,14,01/10/2025,Y,IAD,3,,N
A00035,E02408,02/05/2026,03/20/2026,04/01/2026,VEH,Unauthorized use,SP1,3,04/16/2026,N,,2,,N
